Month of Year ID,Month of Year,Supersector ID,Supersector,NSA Employees,Date,NSA Employees Growth
"2008-01","January, 2008","70","Leisure and Hospitality",12946400,"2008-01-01",1.6623870212882912
"2008-02","February, 2008","70","Leisure and Hospitality",13057000,"2008-02-01",1.6069413641492547
"2008-03","March, 2008","70","Leisure and Hospitality",13272000,"2008-03-01",1.1793585570201186
"2008-04","April, 2008","70","Leisure and Hospitality",13556600,"2008-04-01",1.3668516053776787
"2008-05","May, 2008","70","Leisure and Hospitality",13897800,"2008-05-01",1.1897134203168684
"2008-06","June, 2008","70","Leisure and Hospitality",14146400,"2008-06-01",0.5187090539599528
"2008-07","July, 2008","70","Leisure and Hospitality",14127400,"2008-07-01",0.5451646881316367
"2008-08","August, 2008","70","Leisure and Hospitality",14117500,"2008-08-01",0.18664130805041446
"2008-09","September, 2008","70","Leisure and Hospitality",13731500,"2008-09-01",-0.10766533539934382
"2008-10","October, 2008","70","Leisure and Hospitality",13410300,"2008-10-01",-0.5598481365584541
"2008-11","November, 2008","70","Leisure and Hospitality",13170800,"2008-11-01",-1.4124780119016431
"2008-12","December, 2008","70","Leisure and Hospitality",13123600,"2008-12-01",-1.7709315728806456
"2009-01","January, 2009","70","Leisure and Hospitality",12618400,"2009-01-01",-2.5335228326021135
"2009-02","February, 2009","70","Leisure and Hospitality",12671600,"2009-02-01",-2.9516734318756224
"2009-03","March, 2009","70","Leisure and Hospitality",12852000,"2009-03-01",-3.1645569620253164
"2009-04","April, 2009","70","Leisure and Hospitality",13106600,"2009-04-01",-3.3194163728368467
"2009-05","May, 2009","70","Leisure and Hospitality",13472600,"2009-05-01",-3.0594770395314366
"2009-06","June, 2009","70","Leisure and Hospitality",13685400,"2009-06-01",-3.2587796188429565
"2009-07","July, 2009","70","Leisure and Hospitality",13668600,"2009-07-01",-3.2475897900533712
"2009-08","August, 2009","70","Leisure and Hospitality",13643700,"2009-08-01",-3.3561182928988846
